Name;ExplanationDegree (R2); SampleCorrelation (r);DistanceLossCorrelation;Mean;StdDev;ModelA;ModelK;Fisher-Z-corr (r);Fzc-CI-low;Fzc-CI-high;BootstrapR_StdDev
VPpm;0,005758039284951277;0.07588174540000564;;64,11855500821018;28,316775078881257;;;;0.04046913100190118;0.11110396724483985;0.015406151042011942
ZnPpm;0,0001552367857648582;0.012459405514102918;;56,71165845648604;27,769943976847834;;;;-0.023072502747052432;0.04795987631993756;0.013707318442366848
ZrPpm;0,08865579853110205;0.2977512359858512;;475,34022988505745;178,42680482107872;;;;0.26503269162481746;0.3297849200408346;0.013234582521321836
HarvestHostvete;0,04724548767779813;-0.217360271617879;;34198,74441004472;250525,82216684805;;;;-0.25172626904439077;-0.18244681602513246;0.019088225953060305
HarvestVarvete;0,005089583811410377;-0.0713413191033806;;5287,628992628993;19096,61860913756;;;;-0.10543423105009575;-0.037080895909091534;0.009071245255602985
HarvestRag;0,055197395635642584;-0.23494125996861978;;7480,2630166398285;17271,807821403676;;;;-0.2773966175167827;-0.19157014316757506;0.023205305818022326
HarvestHostkorn;0,05629273516774575;-0.2372609010514496;;7041,73726541555;12125,980991492657;;;;-0.27964011444788955;-0.19395894786090678;0.021383580468535314
HarvestVarkorn;0,00199584029681878;-0.044674828447558476;;12644,543003504989;94020,82736736107;;;;-0.07674946059408738;-0.012507825902917604;0.0067138344147571185
HarvestHavre;0,005077902939908239;-0.07125940597498859;;8931,91654247392;53213,120954090475;;;;-0.10484718242348447;-0.03750924666210764;0.009034099937007345
HarvestArter;0,08849068327461111;-0.2974738362858339;;3451,479057591623;7425,262154604248;;;;-0.3343455881236873;-0.2596928310365625;0.02358379257554624
HarvestAkerbonor;0,04513231529181653;-0.2124436755750016;;3883,4084084084084;5384,698042033129;;;;-0.2539316121859137;-0.17017542987503428;0.023999716913230936
HarvestMatpotatis;0,04853605908320287;-0.2203090081753419;;39761,17117117117;49191,63143599502;;;;-0.26163493319338754;-0.1781767637829329;0.02405184135456252
HarvestPotatisStarkelse;0,18361735182889535;-0.42850595308454625;;70162,33802816902;92015,82796109309;;;;-0.5098547748264155;-0.3395615124652632;0.06675785945976793
HarvestSockerbetor;0,11305485174130649;-0.3362363034255916;;164788,58195211788;429746,40657639835;;;;-0.40881530766163476;-0.2594307959707294;0.041097695446427794
HarvestHostraps;0,044732743451394566;-0.2115011665485431;;6127,071065989848;26471,170889633824;;;;-0.25329944106609087;-0.16891467079673556;0.01959959804466156
HarvestVarraps;0,10006722305386373;-0.3163340371409054;;2823,9933680720037;4396,320964908684;;;;-0.35421710314313654;-0.27741444747040234;0.025496108067326453
HarvestSlattervallTotal;0,002124603031183116;-0.04609341635399915;;41614,928511354075;389246,5466646366;;;;-0.07879366465434408;-0.013294082886208048;0.00684606453619601
HarvestSlattervallForsta;0,002125414707647342;-0.046102220203015624;;23011,077622974124;218725,4962913012;;;;-0.07903373240422651;-0.013070194882455682;0.006351395673903817
HarvestSlattervallAttervaxt;0,0034389653090795822;-0.058642691864200625;;19327,62583383869;178871,4664768975;;;;-0.09258920120005545;-0.024560016493218647;0.008200028651934515
