Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Missing|HarvestSlattervallTotal=Low,0,2714285714285714,0,4857142857142857,0,24285714285714285
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,6,0,4,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Missing|HarvestSlattervallTotal=Missing,0,410958904109589,0,0273972602739726,0,5616438356164384
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,08008658008658008,0,045454545454545456,0,8744588744588745
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=High|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,0,3333333333333333,0,6666666666666666
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Low,0,0,024390243902439025,0,975609756097561
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,5263157894736842,0,47368421052631576,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,01988862370723946,0,11296738265712013,0,8671439936356404
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Low|HarvestSlattervallTotal=High,0,6657458563535912,0,3342541436464088,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=High,0,7272727272727273,0,2727272727272727,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,7894736842105263,0,21052631578947367,0
