Variable,Parents,ParentConfig,Low,Mid,High
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=High|HarvestSlattervallTotal=Mid,0,3888888888888889,0,3194444444444444,0,2916666666666667
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Missing|HarvestSlattervallTotal=Mid,0,4444444444444444,0,4222222222222222,0,13333333333333333
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Mid|HarvestSlattervallTotal=Mid,0,1935483870967742,0,7419354838709677,0,06451612903225806
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Mid|HarvestSlattervallTotal=Mid,0,75,0,25,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Mid|HarvestSlattervallTotal=Low,0,37349397590361444,0,2891566265060241,0,3373493975903614
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Low|HarvestSlattervallTotal=Low,0,3761467889908257,0,41284403669724773,0,21100917431192662
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=High|HarvestSlattervallTotal=Low,0,1780821917808219,0,273972602739726,0,547945205479452
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Missing|HarvestSlattervallTotal=Low,0,12941176470588237,0,24705882352941178,0,6235294117647059
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=High|HarvestSlattervallTotal=Low,0,2631578947368421,0,18421052631578946,0,5526315789473685
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Low|HarvestSlattervallTotal=Low,0,3333333333333333,0,23809523809523808,0,42857142857142855
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Missing|HarvestSlattervallTotal=High,0,9642857142857143,0,03571428571428571,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Low|HarvestSlattervallTotal=High,0,5,0,43670886075949367,0,06329113924050633
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=High|HarvestSlattervallTotal=Missing,0,4,0,1,0,5
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=High|HarvestSlattervallTotal=High,0,3076923076923077,0,34615384615384615,0,34615384615384615
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Mid|HarvestSlattervallTotal=Missing,0,09523809523809523,0,19047619047619047,0,7142857142857143
